duckdb::TemplatedValidityData.EntryCount(idx_t)	c0	-	Function	0	0	6
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	c0	-	Function	0	0	25
duckdb::TemplatedValidityData.TemplatedValidityData<V>(const V *,idx_t)	c1	c0	For	1	13	24
duckdb::TemplatedValidityData.TemplatedValidityData<V>(idx_t)	c0	-	Function	0	0	19
duckdb::TemplatedValidityData.TemplatedValidityData<V>(idx_t)	c1	c0	For	1	8	18
duckdb::TemplatedValidityMask.AllValid() const	c0	-	Function	0	0	3
duckdb::TemplatedValidityMask.AllValid(V)	c0	-	Function	0	0	5
duckdb::TemplatedValidityMask.CanHaveNull() const	c0	-	Function	0	0	3
duckdb::TemplatedValidityMask.CannotHaveNull() const	c0	-	Function	0	0	3
duckdb::TemplatedValidityMask.CheckAllInvalid(idx_t) const	c0	-	Function	0	0	6
duckdb::TemplatedValidityMask.CheckAllValid(idx_t) const	c0	-	Function	0	0	7
duckdb::TemplatedValidityMask.CheckAllValid(idx_t,idx_t) const	c0	-	Function	0	0	30
duckdb::TemplatedValidityMask.CheckAllValid(idx_t,idx_t) const	c1	c0	If	1	3	10
duckdb::TemplatedValidityMask.CheckAllValid(idx_t,idx_t) const	c2	c1	Then	2	7	9
duckdb::TemplatedValidityMask.CheckAllValid(idx_t,idx_t) const	c3	c0	For	1	11	28
duckdb::TemplatedValidityMask.CheckAllValid(idx_t,idx_t) const	c4	c3	If	2	18	27
duckdb::TemplatedValidityMask.CheckAllValid(idx_t,idx_t) const	c5	c4	Then	3	24	26
duckdb::TemplatedValidityMask.Copy(const TemplatedValidityMask<V> &,idx_t)	c0	-	Function	0	0	29
duckdb::TemplatedValidityMask.Copy(const TemplatedValidityMask<V> &,idx_t)	c1	c0	If	1	5	28
duckdb::TemplatedValidityMask.Copy(const TemplatedValidityMask<V> &,idx_t)	c2	c1	Then	2	11	14
duckdb::TemplatedValidityMask.Copy(const TemplatedValidityMask<V> &,idx_t)	c3	c1	Else	2	16	27
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c0	-	Function	0	0	68
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c1	c0	If	1	2	11
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c2	c1	Then	2	7	10
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c3	c0	For	1	16	65
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c4	c3	If	2	24	57
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c5	c4	Then	3	31	41
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c6	c4	Else	3	43	56
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c7	c6	If	4	44	55
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c8	c7	Then	5	50	54
duckdb::TemplatedValidityMask.CountValid(const idx_t) const	c9	c3	While	2	58	64
duckdb::TemplatedValidityMask.EnsureWritable()	c0	-	Function	0	0	10
duckdb::TemplatedValidityMask.EnsureWritable()	c1	c0	If	1	1	9
duckdb::TemplatedValidityMask.EnsureWritable()	c2	c1	Then	2	5	8
duckdb::TemplatedValidityMask.EntryCount(idx_t)	c0	-	Function	0	0	5
