duckdb::ScalarExecutor::RuntimeSelectionSink.Append(bool,idx_t)	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::RuntimeSelectionSink	30	5	Normalize	4	2	0	0	0	0	0	0	0	method	public	2	-
duckdb::ScalarExecutor::RuntimeSelectionSink.AppendInvalidRange(const SelectionVector &,idx_t,idx_t)	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::RuntimeSelectionSink	26	4	Normalize	2	1	0	0	0	0	0	0	0	method	public	3	-
duckdb::ScalarExecutor::RuntimeSelectionSink.FillConstant(bool,const SelectionVector &,idx_t)	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::RuntimeSelectionSink	62	10	Compute	2	2	0	0	0	0	0	0	0	method	public	3	-
duckdb::ScalarExecutor::RuntimeSelectionSink.Result(idx_t) const	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::RuntimeSelectionSink	8	1	Observe	3	0	0	0	0	1	0	0	0	method	public	1	-
duckdb::ScalarExecutor::RuntimeSelectionSink.RuntimeSelectionSink(SelectionVector *,SelectionVector *)	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::RuntimeSelectionSink	8	1	Empty	0	0	0	0	0	0	0	0	0	ctor	public	2	-
duckdb::ScalarExecutor::StaticSelectionSink.Append(bool,idx_t)	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::StaticSelectionSink	28	5	Compute	2	4	0	0	0	0	0	0	0	method	public	2	-
duckdb::ScalarExecutor::StaticSelectionSink.AppendInvalidRange(const SelectionVector &,idx_t,idx_t)	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::StaticSelectionSink	25	4	Compute	1	2	0	0	0	0	0	0	0	method	public	3	-
duckdb::ScalarExecutor::StaticSelectionSink.FillConstant(bool,const SelectionVector &,idx_t)	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::StaticSelectionSink	60	10	Compute	0	4	0	0	0	0	0	0	0	method	public	3	-
duckdb::ScalarExecutor::StaticSelectionSink.Result(idx_t) const	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::StaticSelectionSink	14	3	Observe	2	0	0	0	0	1	0	0	0	method	public	1	-
duckdb::ScalarExecutor::StaticSelectionSink.StaticSelectionSink<HAS_TRUE_SELECTION, HAS_FALSE_SELECTION>(SelectionVector *,SelectionVector *)	/home/user/adaworldapi/duckdb/src/include/duckdb/common/vector_operations/scalar_executor.hpp	duckdb::ScalarExecutor::StaticSelectionSink	20	1	Observe	2	0	0	0	0	0	0	0	0	ctor	public	2	-
