path,methods,handler,line,context,decorator,other_decorators,docstring_first_line
/,GET,index,219,create_app,app.route,,
/activity/<int:aid>/delete,POST,activity_delete,985,create_app,app.route,login_required,
/api/articles/search,GET,api_articles_search,1494,create_app,app.route,login_required,
/api/customer/<int:cid>/workorders,GET,api_customer_workorders,2790,create_app,app.route,login_required,
/api/kunden/<int:cid>/vault/<int:eid>/password,GET,vault_get_pw,553,create_app,app.route,login_required,
/artikel,GET,article_list,1388,create_app,app.route,login_required,
/artikel/<int:aid>/delete,POST,article_delete,1436,create_app,app.route,login_required,
/artikel/<int:aid>/edit,GET|POST,article_edit,1420,create_app,app.route,login_required,
/artikel/import,POST,article_csv_import,1444,create_app,app.route,login_required,CSV-Import: Spalten: Artikelnr;Beschreibung;Preis;MwSt;Lieferant
/artikel/neu,GET|POST,article_new,1401,create_app,app.route,login_required,
/backup,GET,backup_page,2035,create_app,app.route,login_required,
/backup/create,POST,backup_create,2052,create_app,app.route,login_required,
/backup/delete/<filename>,POST,backup_delete,2152,create_app,app.route,login_required,
/backup/download/<filename>,GET,backup_download,2140,create_app,app.route,login_required,
/backup/restore,POST,backup_restore,2163,create_app,app.route,login_required,
/benutzer,GET,user_list,1831,create_app,app.route,login_required,
/benutzer/<int:uid>/delete,POST,user_delete,1875,create_app,app.route,login_required,
/benutzer/<int:uid>/edit,GET|POST,user_edit,1858,create_app,app.route,login_required,
/benutzer/neu,GET|POST,user_new,1839,create_app,app.route,login_required,
/dashboard,GET,dashboard,280,create_app,app.route,login_required,
/einsatz,GET,einsatz_start,1140,create_app,app.route,login_required,
/einsatz/<int:wid>,GET,einsatz_live,1190,create_app,app.route,login_required,
/einsatz/<int:wid>/abbrechen,POST,einsatz_cancel,1179,create_app,app.route,login_required,
/einsatz/<int:wid>/activity,POST,einsatz_activity,1209,create_app,app.route,login_required,
/einsatz/<int:wid>/checkout,GET|POST,einsatz_checkout,1238,create_app,app.route,login_required,
