ID,band,status,word,Pos,COCA-All,COCA-Acad,ratio,disp,range
1,1,c,the,a,23782116,7131341,1.04999169762732,0.962708808404016,9
2,1,c,of,i,11155504,4060103,1.2744212650899,0.962708808404016,9
3,1,c,be,v,16711569,3457266,0.724403805780164,0.962708808404016,9
4,1,c,and,c,11654440,3291949,0.989069574782004,0.962708808404016,9
5,1,c,a,a,10999596,2708902,0.862346319159276,0.962708808404016,9
6,1,c,in,i,7557934,2367953,1.09707201669941,0.962708808404016,9
7,1,c,to,t,6868227,1682820,0.857942493845208,0.962708808404016,9
8,1,c,to,i,4176665,1215360,1.01892085249271,0.962708808404016,9
9,1,c,that,c,3709830,1064576,1.00481894980314,0.962708808404016,9
10,1,c,for,i,3564803,1014762,0.996767377056044,0.962708808404016,9
11,1,c,have,v,5335769,978516,0.642149378178076,0.962708808404016,9
12,1,c,with,i,2911620,774756,0.931741434344207,0.962708808404016,9
13,1,c,it,p,4194837,673174,0.561923763273405,0.962708808404016,9
14,1,c,on,i,2703486,659129,0.853712124836337,0.962708808404016,9
15,1,c,by,i,1608416,598731,1.30346242035172,0.955010462952301,9
16,1,c,this,d,2047852,510484,0.872868302159243,0.957717694188938,9
17,1,c,or,c,1488977,508533,1.1959039652101,0.961188640757159,9
18,1,c,from,i,1777279,500702,0.986481332351171,0.949582698878517,9
19,1,c,not,x,1771490,474931,0.938765168772199,0.959248449024456,9
20,1,c,their,a,1170105,408973,1.22386906253473,0.955840880456997,9
21,1,c,as,c,1400622,408637,1.02160238490699,0.958605586175309,9
22,1,c,at,i,1923946,406698,0.740191873739176,0.948940142742712,9
23,1,c,as,i,895158,373925,1.46268214361816,0.956951928699457,9
24,1,c,they,p,2014813,373105,0.648427580839783,0.962708808404016,9
25,1,c,do,v,2800962,370132,0.462716058158383,0.967382230735061,9
26,1,c,but,c,1933747,343724,0.622408276016846,0.955737959266165,9
27,1,c,he,p,3138989,293238,0.327111347085978,0.962708808404016,9
28,1,c,can,v,1106769,288576,0.912994954606589,0.946099647585625,9
29,1,c,we,p,1973669,286901,0.509005994186135,0.946264033595099,9
30,1,c,which,d,739360,280188,1.32696275884738,0.957213844127678,9
31,1,c,his,a,1943525,269679,0.485872313364263,0.945022592369663,9
32,1,c,you,p,3354314,260267,0.271694311648696,0.962708808404016,9
33,1,c,that,d,1853584,257814,0.48703411108348,0.962029775975745,9
34,1,c,who,p,1103186,228028,0.723776688019945,0.963370194808814,9
35,1,c,these,d,554163,227204,1.43563355928139,0.951514192913859,9
36,1,c,its,a,604138,222386,1.28895110865983,0.940796256193495,9
37,1,c,all,d,970329,209920,0.757530216960798,0.962371038018666,9
38,1,c,other,j,589395,200298,1.18996810234334,0.953754013521131,9
39,1,c,will,v,1200441,200030,0.583471260862096,0.942687852825158,9
40,1,c,make,v,932443,199659,0.749776377092986,0.959751857114411,9
41,1,c,more,r,560978,199406,1.24467952825036,0.959014955504865,9
42,1,c,would,v,1000182,198571,0.695187481561575,0.950126740596099,9
43,1,c,than,c,627735,194949,1.08745131425895,0.948461028303722,9
44,1,c,one,m,830619,193568,0.816012584002681,0.957173460354823,9
45,1,c,also,r,504559,192668,1.33709660618253,0.955335780833436,9
46,1,c,if,c,1011861,189474,0.655682995621957,0.959813481446437,9
47,1,c,use,v,455925,184698,1.41851502579923,0.925991672451991,9
48,1,c,time,n,832974,184374,0.775056542389173,0.957126929593368,9
49,1,r,student,n,280591,183801,2.29371411738539,0.873113505052592,7
50,1,c,year,n,834997,179526,0.752848507773241,0.949698504047907,9
51,1,c,what,d,1283090,178012,0.485799780124032,0.963066673102572,9
52,1,c,say,v,2077536,175929,0.296520026724101,0.940661668715218,9
53,1,c,some,d,728487,167334,0.804317542809054,0.954273013862162,9
54,1,c,about,i,952604,164132,0.603317628533442,0.964162918140252,9
55,1,c,into,i,723324,158983,0.769631734967115,0.946957631633807,9
56,1,c,there,e,846483,153587,0.635332938123549,0.962141124818356,9
57,1,c,when,c,736305,148571,0.706547642124782,0.96061116021868,9
58,1,c,new,j,472947,142281,1.05341521898518,0.943865069139987,9
59,1,y1,between,i,284031,140049,1.72655104967787,0.949624236502957,8
60,1,c,two,m,552785,139375,0.882863953047354,0.949702082566995,9
61,1,c,our,a,574490,137807,0.839951015544082,0.941074844554323,9
62,1,y,study,n,190388,137208,2.5235099227904,0.926508934968049,8
63,1,c,people,n,752220,136822,0.636907279615224,0.947605352208618,9
64,1,c,them,p,735838,136782,0.650896434156601,0.962711774037669,9
65,1,c,see,v,754368,136403,0.63314884529969,0.951482850520338,9
66,1,c,only,r,408282,132096,1.13290785491571,0.954849185800824,9
67,1,c,take,v,726578,131217,0.632372557652892,0.963358790237643,9
68,1,c,many,d,415218,130609,1.10144315071768,0.952688714117298,9
69,1,c,n't,x,1744284,129412,0.259790045809152,0.934900246068443,9
70,1,c,your,a,719699,123829,0.602471657653703,0.88761687875174,8
71,1,c,first,m,502030,123671,0.862587890162976,0.95372033895688,9
72,1,y,group,n,249082,122011,1.71522776015974,0.94006317159093,9
73,1,c,could,v,669783,120818,0.631629894191267,0.950353000828727,9
74,1,c,how,r,588189,118439,0.705087455687339,0.962688936922329,9
75,1,c,those,d,410262,118246,1.00923039135785,0.961038724949461,9
76,1,r,school,n,331597,117137,1.23694007108103,0.887416009655194,9
77,1,c,find,v,426447,115811,0.950932964457692,0.949326797431033,9
78,1,c,so,r,837971,115655,0.483281953705627,0.956968875605718,9
79,1,r,child,n,360478,111063,1.07883689403304,0.926295872152814,8
80,1,c,way,n,511585,110558,0.756724031201757,0.957960952071157,9
81,1,y,system,n,215748,110176,1.78815588811864,0.897338715618514,9
82,1,c,more,d,457736,108977,0.833652261306815,0.950409458765451,9
83,1,c,high,j,277214,108493,1.37041376865218,0.939981280093578,9
84,1,c,up,r,865430,108433,0.438727322984283,0.944373095806843,9
85,1,c,no,a,433546,104093,0.840720226658476,0.962765898721371,9
86,1,c,state,n,440944,103379,0.820944965632513,0.918085036118287,9
87,1,c,through,i,372049,102046,0.960419565561334,0.95105316963777,9
88,1,c,world,n,328689,101918,1.08575259765543,0.939518657488491,9
89,1,r,program,n,212582,100151,1.64965814611815,0.929812560207264,9
90,1,y,social,j,146215,99744,2.38869118314492,0.904635547902988,8
91,1,c,my,a,1007382,99431,0.345615152964606,0.94935785133127,9
92,1,c,because,c,476691,99129,0.728163536088866,0.956875905902982,9
93,1,c,one,p,399728,98855,0.865962776759075,0.951668766085392,9
94,1,y1,such,d,221361,98532,1.55862394739723,0.95039038499221,9
95,1,c,should,v,335540,97897,1.02162200238535,0.969535308082306,9
96,1,c,she,p,1608924,96676,0.210401241237446,0.958436966791464,9
97,1,c,out,r,738311,95747,0.454099465653762,0.955368765856627,9
98,1,c,then,r,589713,95413,0.566541860023521,0.952586200246077,9
99,1,c,go,v,1251786,94926,0.265534065818773,0.960666496909205,9
100,1,c,woman,n,382235,94406,0.8648370763978,0.921234476168995,8
101,1,c,become,v,278670,94219,1.18389565714347,0.956946380794004,9
102,1,c,any,d,374115,94180,0.881492698260732,0.955317067575789,9
103,1,c,life,n,361340,93968,0.910603044133083,0.938782030764192,9
104,1,c,most,r,265879,93823,1.2356356597524,0.957721389472087,9
105,1,c,even,r,391962,93599,0.836165795842377,0.953773549667263,9
106,1,c,her,a,1054106,93431,0.310364375819858,0.946039595434327,9
107,1,y,provide,v,162772,93212,2.00519808550017,0.944293885675553,9
108,1,c,get,v,1080432,91256,0.295752990398152,0.949618833685316,9
109,1,y,however,r,151837,90906,2.09642866240453,0.950617479967719,8
110,1,c,each,d,212566,90887,1.49717691740343,0.938884533390824,9
111,1,c,give,v,415915,90650,0.76318245809838,0.965691567626672,9
112,1,c,know,v,974670,89693,0.322230099932181,0.957830433370065,9
113,1,c,come,v,680619,86034,0.442620170441065,0.953319980504765,9
114,1,c,while,c,254311,84915,1.16918819802376,0.956014439815288,9
115,1,c,like,i,619260,84322,0.476796462909288,0.953818640288552,9
116,1,c,during,i,205544,83964,1.43038672401928,0.944292897055508,9
117,1,y,research,n,126662,83325,2.30353139463199,0.918388877971549,9
118,1,r,teacher,n,126709,82502,2.27993343691323,0.864964208033747,7
119,1,c,problem,n,233655,81576,1.22251017334985,0.954215186709175,9
120,1,r,education,n,126010,80470,2.2361150484224,0.90585889290387,8
121,1,c,as,r,304541,78918,0.90739306467254,0.95703242454703,9
122,1,c,American,j,231470,78274,1.18409888136301,0.91190700150318,9
123,1,y,level,n,132310,78162,2.06856012481616,0.939188049039957,8
124,1,c,now,r,657619,77266,0.411414156946616,0.947885701166164,9
125,1,c,work,v,346641,76381,0.771561529990444,0.961637443967342,9
126,1,c,just,r,741437,76056,0.359190118555052,0.949300919224122,9
127,1,c,man,n,459435,75969,0.57899856497319,0.936880461432915,9
128,1,c,need,v,304665,75094,0.863073590427546,0.959196629040187,9
129,1,c,over,i,326862,74745,0.800724039221903,0.951456931814857,9
130,1,c,case,n,216637,74675,1.20700134181364,0.94778227554819,9
131,1,c,political,j,155252,73816,1.66486283486028,0.890253314986172,6
132,1,c,number,n,201813,73345,1.27258420654165,0.942279804061929,9
133,1,c,three,m,288953,73208,0.887148840116205,0.953725334112531,9
134,1,r,community,n,146262,73181,1.75199146667153,0.935537416951511,8
135,1,c,in,r,309472,72984,0.825793489843218,0.961305237427225,9
136,1,c,own,d,259644,72925,0.983474947022782,0.956170638181166,9
137,1,c,after,i,339185,72276,0.74614395672283,0.956864008761306,9
138,1,y,result,n,123215,72083,2.04849272659178,0.937553985761906,9
139,1,c,show,v,225869,71852,1.11390303350837,0.936822297552762,9
140,1,c,government,n,209934,71499,1.19256577496032,0.894994460642305,9
141,1,c,same,d,240374,71251,1.03793134597768,0.953976590469341,9
142,1,c,work,n,203073,70763,1.22016680693211,0.950367322035224,9
143,1,c,large,j,190008,70352,1.2964916264265,0.918699204645765,9
144,1,y,include,v,145280,70098,1.68952627600688,0.945440864634447,9
145,1,y1,such,i,128642,70078,1.90749790582127,0.943742497295848,9
146,1,c,day,n,486307,69430,0.499921481709683,0.955002358750847,9
147,1,c,must,v,182442,68350,1.31183389797493,0.957428205624047,9
148,1,y1,among,i,149851,68274,1.59536792720361,0.94557218699264,9
149,1,c,great,j,244358,68158,0.976687053213712,0.95348737782932,9
150,1,c,area,n,178801,67950,1.33071383528031,0.926563705803548,9
151,1,c,country,n,242456,67617,0.976535682204569,0.910458480342613,9
152,1,c,most,d,211650,67451,1.11592568679589,0.949362525337038,9
153,1,y,important,j,155792,67258,1.51169421379995,0.954371902920731,9
154,1,c,family,n,264804,67188,0.888448640257151,0.928779605004384,9
155,1,c,different,j,176090,66947,1.33125601007633,0.94550421374817,9
