rank,word,freq,#texts,%caps
1,the,50074257,483041,0.11
2,to,25557793,478977,0.02
3,and,24821791,478727,0.09
4,of,23605964,478144,0.01
5,a,21889251,477421,0.05
6,in,16560377,473373,0.08
7,i,14722307,360928,0.99
8,that,13441314,456949,0.09
9,you,12060967,366116,0.2
10,it,11111285,445176,0.24
11,is,10173313,456138,0.03
12,for,8498936,459878,0.06
13,on,6901553,453943,0.04
14,was,6851383,393239,0.01
15,he,6469768,331701,0.3
16,with,6444400,447773,0.04
17,this,5562393,425533,0.21
18,as,5496470,429388,0.1
19,n't,5312220,355926,0.01
20,we,5183326,354960,0.32
21,be,5048552,425478,0.02
22,have,5025573,418627,0.02
23,are,4985174,414571,0.04
24,not,4686501,403028,0.07
25,but,4603799,414960,0.36
26,at,4526914,427595,0.07
27,they,4505732,382993,0.23
28,do,4502940,360770,0.13
29,what,3811194,352265,0.34
30,his,3762369,312654,0.07
31,from,3731282,421744,0.04
32,by,3453002,409937,0.06
33,or,3421821,388923,0.05
34,she,3189351,206684,0.32
35,my,3107804,258460,0.15
36,all,3097696,379724,0.15
37,an,3061527,407853,0.05
38,there,2914456,358836,0.27
39,so,2902801,354359,0.31
40,her,2892425,204651,0.05
41,about,2891703,375297,0.03
42,me,2851610,236169,0.03
43,one,2818942,385749,0.13
44,had,2724328,318991,0.01
45,if,2710989,359865,0.33
46,your,2578275,261440,0.09
47,can,2531671,359362,0.06
48,who,2510945,360774,0.08
49,no,2488975,324320,0.37
50,out,2467523,360527,0.02
51,has,2444447,378527,0.01
52,their,2417362,352525,0.03
53,were,2382804,320360,0.01
54,like,2368863,330034,0.06
55,just,2352138,327756,0.12
56,would,2350385,326704,0.03
57,up,2333666,355751,0.02
58,when,2320759,368117,0.24
59,more,2288032,377707,0.05
60,will,2264384,352734,0.04
61,know,2112737,254608,0.02
62,said,2052406,265061,0.01
63,did,1890945,274642,0.09
64,been,1874778,341143,0.01
65,people,1784509,291630,0.08
66,get,1744578,290356,0.09
67,him,1719620,212926,0.02
68,time,1701102,337358,0.04
69,them,1693142,309036,0.01
70,some,1686328,334173,0.12
71,how,1667534,305542,0.29
72,now,1655217,301934,0.26
73,which,1614076,331123,0.04
74,could,1530721,295560,0.03
75,think,1493360,238527,0.03
76,than,1476213,329762,0.01
77,our,1468290,266038,0.1
78,into,1461816,320750,0.01
79,other,1454666,328181,0.05
80,right,1444817,237549,0.12
81,here,1414885,241649,0.15
82,well,1388889,268155,0.49
83,new,1371340,312596,0.36
84,then,1350288,280835,0.21
85,because,1346956,289948,0.14
86,go,1262075,243772,0.11
87,see,1258974,264511,0.11
88,back,1254771,260967,0.04
89,only,1231337,305896,0.07
90,these,1223774,273207,0.19
91,over,1223233,302519,0.05
92,going,1223128,231711,0.02
93,us,1161894,233397,0.12
94,also,1143161,311325,0.07
95,two,1141705,297927,0.1
96,first,1140093,304260,0.12
97,its,1139557,259590,0.05
98,even,1135249,290209,0.15
99,good,1130894,253220,0.17
100,way,1125106,281904,0.03
101,where,1098671,273984,0.17
102,after,1086427,302141,0.22
103,want,1084605,227784,0.03
104,got,1060448,187445,0.05
