rank,lemma,PoS,freq,perMil,disp
1,the,a,50033612,50385.16,0.98
2,be,v,32394756,32622.71,0.99
3,and,c,24778098,24952.2,0.98
4,a,a,24225478,24395.69,0.99
5,of,i,23159162,23321.89,0.97
6,to,t,16770155,16887.99,1.01
7,in,i,15670692,15780.8,0.98
8,i,p,14217601,14317.5,0.97
9,you,p,12079413,12164.29,0.96
10,it,p,11042044,11119.63,0.99
11,have,v,10514314,10588.23,0.99
12,to,i,9232572,9297.44,1.0
13,that,c,8319512,8377.97,0.98
14,for,i,8194970,8252.55,0.99
15,do,v,8186412,8244.7,0.98
16,he,p,6467470,6512.91,0.97
17,with,i,6442861,6488.13,0.99
18,on,i,6080156,6122.88,0.99
19,this,d,5541440,5580.3,0.98
20,n't,x,5285354,5322.49,0.98
21,we,p,5180711,5217.11,0.97
22,that,d,5002963,5038.12,0.97
23,not,x,4655980,4688.69,0.99
24,but,c,4523086,4554.87,0.98
25,they,p,4503650,4535.29,0.98
26,say,v,4096416,4125.2,0.96
27,at,i,4024079,4052.35,0.98
28,what,d,3807502,3834.25,0.98
29,his,a,3718978,3745.11,0.96
30,from,i,3711425,3737.5,0.98
31,go,v,3546732,3571.65,0.97
32,or,c,3420339,3444.37,0.97
33,by,i,3372222,3395.92,0.97
34,get,v,3347615,3371.14,0.98
35,she,p,3188078,3210.48,0.93
36,my,a,3106939,3128.77,0.97
37,can,v,3091046,3113.52,0.99
38,as,c,2946119,2966.82,0.98
39,know,v,2761628,2781.03,0.96
40,if,c,2709809,2728.85,0.98
41,me,p,2638743,2657.28,0.96
42,your,a,2577505,2595.62,0.97
43,all,d,2503556,2521.15,0.99
44,who,p,2493429,2510.95,0.98
45,about,i,2427703,2444.76,0.98
46,their,a,2417058,2434.04,0.97
47,will,v,2372215,2391.52,0.98
48,so,r,2369749,2382.89,0.97
49,would,v,2349400,2365.91,0.98
50,make,v,2290830,2306.93,0.99
51,just,r,2270900,2286.86,0.98
52,up,r,2108756,2123.57,0.98
53,think,v,2077762,2092.36,0.96
54,time,n,2018725,2032.91,0.99
55,there,e,1980173,1994.09,0.98
56,see,v,1958700,1972.46,0.99
57,her,a,1931189,1944.76,0.91
58,as,i,1880190,1893.4,0.96
59,out,r,1828593,1841.44,0.99
60,one,m,1816593,1829.36,0.99
61,come,v,1802158,1814.82,0.98
62,people,n,1800205,1812.85,0.96
63,take,v,1768822,1780.53,0.99
64,year,n,1729962,1742.14,0.97
65,him,p,1717209,1729.27,0.96
66,them,p,1701589,1713.54,0.98
67,some,d,1684262,1696.1,0.99
68,want,v,1671524,1683.27,0.99
69,how,r,1666469,1678.18,0.99
70,when,c,1650353,1661.95,0.98
71,which,d,1613281,1624.62,0.97
72,now,r,1601991,1613.25,0.98
73,like,i,1583444,1594.57,0.98
74,other,j,1539952,1550.77,0.97
75,could,v,1529795,1540.54,0.98
76,our,a,1467955,1478.27,0.98
77,into,i,1461573,1471.84,0.97
78,here,r,1413594,1423.53,0.96
79,then,r,1344434,1353.88,0.98
80,than,c,1342798,1352.23,0.98
81,look,v,1338475,1347.88,0.97
82,way,n,1260011,1268.86,0.99
83,more,r,1248955,1257.73,0.97
84,these,d,1223310,1231.91,0.97
85,no,a,1206112,1214.59,0.99
86,thing,n,1202004,1210.45,0.97
87,well,r,1189096,1197.45,0.95
88,because,c,1167024,1175.22,0.97
89,also,r,1142799,1150.83,0.96
90,two,m,1139973,1147.98,0.99
91,use,v,1126042,1133.95,0.97
92,tell,v,1119692,1127.56,0.98
93,good,j,1111721,1119.53,0.98
94,first,m,1101803,1109.54,0.98
95,man,n,1091176,1099.05,0.98
96,day,n,1068902,1076.41,0.98
97,find,v,1051936,1059.33,0.99
98,give,v,1048189,1055.55,0.99
99,more,d,1037966,1045.26,0.98
100,new,j,1017175,1024.32,0.98
101,one,p,999446,1006.47,0.99
102,us,p,992207,999.18,0.98
103,any,d,981535,988.43,0.98
104,those,d,964458,971.23,0.98
105,very,r,963552,970.32,0.95
106,her,p,959780,966.52,0.93
107,need,v,945498,952.14,0.99
108,back,r,938649,945.24,0.97
109,there,r,932354,938.9,0.97
110,should,v,920908,927.38,0.99
111,even,r,920346,926.81,0.98
112,only,r,905093,911.45,0.98
113,many,d,903833,910.18,0.97
114,really,r,895900,902.19,0.96
