# COCA master lexicon (ngrams.info coca_lexicon.txt, format #3), compacted.
# word<TAB>lemma<TAB>pos — pos: n noun · v verb · b be/aux · j adj · r adverb · i prep.
# First (highest-frequency) reading per surface form; top ~20k alphabetic forms.
of	of	i
in	in	i
is	be	b
to	to	i
for	for	i
was	be	b
with	with	i
on	on	i
be	be	b
are	be	b
at	at	i
from	from	i
by	by	i
had	have	b
have	have	b
were	be	b
has	have	b
would	would	v
said	say	v
do	do	b
about	about	i
can	can	v
been	be	b
will	will	v
up	up	r
into	into	i
out	out	r
people	people	n
did	do	b
could	could	v
time	time	n
just	just	r
says	say	v
other	other	j
years	year	n
now	now	r
like	like	i
also	also	r
then	then	r
way	way	n
new	new	j
know	know	v
very	very	r
think	think	v
get	get	v
here	here	r
may	may	v
only	only	r
year	year	n
should	should	v
does	do	b
even	even	r
back	back	r
good	good	j
there	there	r
going	go	v
as	as	i
down	down	r
through	through	i
how	how	r
make	make	v
life	life	n
day	day	n
see	see	v
more	more	r
between	between	i
still	still	r
never	never	r
really	really	r
go	go	v
being	be	b
man	man	n
world	world	n
well	well	r
things	thing	n
children	child	n
against	against	i
might	might	v
american	american	j
so	so	r
take	take	v
say	say	v
want	want	v
most	most	r
percent	percent	n
school	school	n
women	woman	n
again	again	r
thing	thing	n
came	come	v
family	family	n
after	after	i
always	always	r
must	must	v
students	student	n
old	old	j
too	too	r
over	over	i
went	go	v
government	government	n
country	country	n
part	part	n
different	different	j
money	money	n
during	during	i
work	work	n
without	without	i
great	great	j
ca	can	v
lot	lot	n
night	night	n
small	small	j
took	take	v
men	man	n
big	big	j
state	state	n
water	water	n
why	why	r
when	when	r
system	system	n
place	place	n
fact	fact	n
days	day	n
today	today	r
room	room	n
away	away	r
important	important	j
political	political	j
mother	mother	n
hand	hand	n
case	case	n
doing	do	b
off	off	r
number	number	n
york	york	n
often	often	r
group	group	n
ever	ever	r
week	week	n
united	united	n
states	state	n
under	under	i
president	president	n
house	house	n
point	point	n
ago	ago	r
done	do	b
eyes	eye	n
business	business	n
come	come	v
got	get	v
father	father	n
high	high	j
woman	woman	n
find	find	v
head	head	n
young	young	j
almost	almost	r
company	company	n
knew	know	v
among	among	i
little	little	j
kind	kind	n
side	side	n
problem	problem	n
power	power	n
end	end	n
such	such	i
information	information	n
made	make	v
together	together	r
tell	tell	v
john	john	n
trying	try	v
story	story	n
question	question	n
war	war	n
times	time	n
seen	see	v
already	already	r
real	real	j
help	help	v
least	least	r
job	job	n
city	city	n
others	others	n
america	america	n
home	home	n
child	child	n
large	large	j
program	program	n
looking	look	v
social	social	j
face	face	n
washington	washington	n
getting	get	v
need	need	v
saw	see	v
began	begin	v
toward	toward	i
having	have	b
long	long	j
door	door	n
asked	ask	v
thought	think	v
mean	mean	v
making	make	v
body	body	n
before	before	i
history	history	n
morning	morning	n
months	month	n
give	give	v
able	able	j
person	person	n
within	within	i
where	where	r
across	across	i
black	black	j
told	tell	v
course	course	r
name	name	n
yet	yet	r
university	university	n
car	car	n
area	area	n
problems	problem	n
book	book	n
team	team	n
study	study	n
parents	parent	n
actually	actually	r
keep	keep	v
probably	probably	r
community	community	n
wanted	want	v
best	best	j
education	education	n
law	law	n
music	music	n
health	health	n
