field	present
abnormal_amount_warning	0
abnormal_date_warning	0
adjusting_entries_count	1
adjusting_entry_origin_label	1
adjusting_entry_origin_moves_count	1
alerts	1
always_tax_exigible	0
amount_paid	0
amount_residual	1
amount_residual_signed	0
amount_tax	0
amount_tax_signed	0
amount_total	0
amount_total_in_currency_signed	0
amount_total_signed	0
amount_total_words	0
amount_untaxed	0
amount_untaxed_in_currency_signed	0
amount_untaxed_signed	0
authorized_transaction_ids	0
auto_post_until	1
bank_partner_id	1
checked	1
commercial_partner_id	1
company_id	1
currency_id	1
date	1
debit_note_count	0
delivery_date	1
direction_sign	0
display_inactive_currency_warning	1
display_link_qr_code	0
display_name	0
display_qr_code	1
display_send_button	0
duplicated_ref_ids	1
edi_blocking_level	0
edi_error_count	0
edi_error_message	0
edi_show_abandon_cancel_button	0
edi_show_cancel_button	0
edi_show_force_cancel_button	0
edi_state	0
edi_web_services_to_process	0
expected_currency_rate	1
fiscal_position_id	1
has_reconciled_entries	1
hide_post_button	1
highest_name	1
highlight_send_button	0
incoterm_location	1
invoice_currency_rate	1
invoice_date	1
invoice_date_due	1
invoice_filter_type_domain	1
invoice_has_outstanding	1
invoice_incoterm_id	1
invoice_incoterm_placeholder	1
invoice_line_ids	1
invoice_partner_display_name	0
invoice_payment_term_id	1
invoice_payments_widget	1
invoice_user_id	1
invoice_vendor_bill_id	1
is_being_sent	1
is_draft_duplicated_ref_ids	0
is_exact_move_duplicate	0
is_landed_costs_line	0
is_storno	0
journal_id	1
l10n_ar_afip_concept	0
l10n_ar_withholding_ids	0
l10n_bg_document_number	0
l10n_bg_document_type	0
l10n_eg_long_id	0
l10n_eg_qr_code	0
l10n_eg_submission_number	0
l10n_eg_uuid	0
l10n_es_edi_facturae_reason_code	0
l10n_es_edi_is_required	0
l10n_es_edi_verifactu_available_clave_regimens	0
l10n_es_edi_verifactu_clave_regimen	0
l10n_es_edi_verifactu_qr_code	0
l10n_es_edi_verifactu_show_cancel_button	0
l10n_es_edi_verifactu_state	0
l10n_es_edi_verifactu_warning	0
l10n_es_edi_verifactu_warning_level	0
l10n_es_is_simplified	0
l10n_es_payment_means	0
l10n_es_tbai_is_required	0
l10n_es_tbai_state	0
l10n_fr_is_company_french	0
l10n_gcc_invoice_tax_amount	0
l10n_gcc_line_name	0
l10n_gr_edi_alerts	0
l10n_gr_edi_attachment_id	0
l10n_gr_edi_available_inv_type	0
l10n_gr_edi_cls_mark	0
l10n_gr_edi_enable_send_expense_classification	0
l10n_gr_edi_enable_send_invoices	0
l10n_gr_edi_enable_view_mydata	0
l10n_gr_edi_inv_type	0
l10n_gr_edi_mark	0
l10n_gr_edi_need_correlated	0
l10n_gr_edi_need_payment_method	0
l10n_gr_edi_payment_method	0
l10n_gr_edi_state	0
l10n_hr_payment_unreported	0
l10n_hr_process_type	0
l10n_hu_edi_attachment_filename	0
l10n_hu_edi_message_html	0
l10n_id_coretax_add_info_07	0
l10n_id_coretax_add_info_08	0
l10n_id_coretax_efaktur_available	0
l10n_id_coretax_facility_info_07	0
l10n_id_coretax_facility_info_08	0
l10n_id_kode_transaksi	0
l10n_in_ewaybill_expiry_date	0
l10n_in_ewaybill_name	0
l10n_in_state_id	0
l10n_it_document_type	0
l10n_it_edi_button_label	0
l10n_it_edi_doi_amount	0
l10n_it_edi_doi_date	0
