repo	commit	path	blob
SIMAF	a420b48822e91df39e7b170a711eddf571e79db5	Schema/UniversalDtoPoc.TimeTracking.txt	5cfc83701133aef096c1266188e59d7b367a67f7
SIMAFPort	381d6c2e6ce47765a6460268bf15b9cec46ff2be	src/UniversalDtoPoc/TimeTracking/TimeTrackingDtos.cs	49f91dd26571bd8b48d7ce1fd5fb9591cd5b2801
SMB-Core-Middleware	363314048483c3883d2734cbe5cd51d10fb5e8a6	src/Core/Infrastructure/TimeTracking/TimeTrackingHasher.cs	bafb6955634b84611575e7fd9d747095c7cffef0
SIMAF	a420b48822e91df39e7b170a711eddf571e79db5	Core/Interfaces/zif_simaf_dto.abap	8db13ebd87407e4c151924539c0213cd5d1cbac9
SIMAF	a420b48822e91df39e7b170a711eddf571e79db5	DTO/zcl_simaf_dto_base.abap	e1acafe616cb87f0e3ea4fdf862b3e8650c796ad
SIMAF	a420b48822e91df39e7b170a711eddf571e79db5	DTO/zcl_simaf_dto_document.abap	18fa9afdb5ecd47652b5f65fbfb0331b3f057234
SIMAFPort	381d6c2e6ce47765a6460268bf15b9cec46ff2be	V4/complete/CLASSES/TimeTracking/ZCL_TIME_TRACKING_DTO_POC.clas.abap.txt	ba2b3cdd087a46b659d7527fa5f8ad9e1c20c31a
SMB-Core-Middleware	363314048483c3883d2734cbe5cd51d10fb5e8a6	src/Core/Interfaces/TimeTracking/ITimeTrackingService.cs	44d84aa4494bb103d25c91719190f2a91ff4fd8a
SIMAFPort	381d6c2e6ce47765a6460268bf15b9cec46ff2be	V4/complete/CLASSES/TimeTracking/ZCL_DTO_HASHER.clas.abap.txt	19f4e8cd0edbe909cd8e613a686011d809b1bf7e
SIMAFPort	381d6c2e6ce47765a6460268bf15b9cec46ff2be	V4/complete/CLASSES/TimeTracking/ZCL_TIME_DTO_PROCESSOR.clas.abap.txt	392fea8b292f8b6cb1a9a52ebdefd081e435a895
