account_number,account_name,family,source
000500,Rückständige fällige Einzahlungen auf Geschäftsanteile,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
001000,"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und geleistete ähnliche Rechte und lungen und Werte sowie Lizenzen gen im Bau an solchen Rechten Grundstück und Werten grundstück che Rechte Bauten ein",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
001500,Konzessionen lich der B,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
002000,Gewerbliche auf fremde Schutzrechte Grundstück,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
002500,Ähnliche Rechte und Werte,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
002700,EDV-Software,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
003000,Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
003500,Geschäfts- oder Firmenwert,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
003800,Anzahlungen auf Geschäfts- oder Firmenwert,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
003900,Geleistete Anzahlungen auf immaterielle Vermö- gensgegenstände,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
004000,-0042 99,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
004300,Selbst geschaffene immaterielle Vermö- gensgegenstände geleistete lungen und,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
004400,EDV-Software gen im Bau,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
004500,Lizenzen und Franchiseverträge,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
004600,Konzessionen und ge- werbliche Schutzrechte,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
004700,"Rezepte, Verfahren, Grundstück Prototypen grundstück",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
004800,Immaterielle Vermöche Rechte gensgegenstände in Bauten ein Entwicklung lich der B auf fremde Grundstück,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
005000,"Grundstücke, grund- stücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
005900,Grundstücksanteil häusliches Arbeitszimmer geleistete,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
006000,Grundstücksgleiche lungen und Rechte ohne Bauten gen im Bau,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
006500,Unbebaute Grundstücke,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
007000,"Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke) Eigenformular, Nachdruck – auch auszugsweis 0 Bilanz-/GuV- Anlage- und Kapitalkonten Posten HGB",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
007500,Grundstücke mit Substanzverzehr,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
007510,Sand- und Kiesausbeute,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
007511,Grundstücke mit Substanzverzehr,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
007900,Anzahlungen auf Grund und Boden,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
008000,Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
008500,Grundstückswerte eigener bebauter Grundstücke,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
009000,Geschäftsbauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
010000,Fabrikbauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
010010,Bauliche Anlagen für stationäre Fertigung,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
010011,Fabrikbauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
011000,Garagen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
011100,"Außenanlagen für Geschäfts-, Fabrik- und andere Bauten",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
011200,Hof- und Wegebefestigungen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
011300,"Einrichtungen für Geschäfts-, Fabrik- und andere Bauten",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
011500,Andere Bauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
011510,Bauten auf dem Bauhof,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
011600,Andere Bauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
012000,"Geschäfts-, Fabrik- und andere Bauten im Bau auf eigenen Grundstücken",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
012900,"Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf eigenen Grundstücken",Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
014000,Wohnbauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
014500,Garagen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
014600,Außenanlagen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
014700,Hof- und Wegebefestigungen,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
014800,Einrichtungen für Wohnbauten,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
014900,Gebäudeanteil häusliches Arbeitszimmer,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
015000,Wohnbauten im Bau auf eigenen Grundstücken,Anlage- und Kapitalkonten,"DATEV SKR 03 Bau und Handwerk (Art.-Nr. 19606, 2026)"
