account_number,account_name,family,source
0005,Rückständige fällige Einzahlungen auf Geschäftsanteile,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0010,"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0015,Konzessionen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0020,Gewerbliche Schutzrechte,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0025,Ähnliche Rechte und Werte,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0027,EDV-Software,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0030,Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0035,Geschäfts- oder Firmenwert,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0038,Anzahlungen auf Geschäfts- oder Firmenwert,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0039,Geleistete Anzahlungen auf immaterielle Vermö- gensgegenstände,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0040,-0042 99,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0043,Selbst geschaffene immaterielle Vermö- gensgegenstände,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0044,EDV-Software,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0045,Lizenzen und Franchiseverträge,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0046,Konzessionen und ge- werbliche Schutzrechte,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0047,"Rezepte, Verfahren, Prototypen",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0048,Immaterielle Vermö- gensgegenstände in Entwicklung,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0050,"Grundstücke, grund- stücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0059,Grundstücksanteil häusliches Arbeitszimmer,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0060,Grundstücksgleiche Rechte ohne Bauten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0065,Unbebaute Grundstücke,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0070,"Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke) Eigenformular, Nachdruck – auch a 0 Bila age- und Kapitalkonten Post 00 Bauten auf fremden Grundstücken 00 Geschäftsbauten 00 Fabrikbauten geleist 00 Garagen lungen 00 Außenanlagen gen im 00 Hof- und Wegebefestigungen 00 Einrichtungen für Geschäfts-, Fabrik-, Andere Wohn- und Betrieb andere Bauten schäfts 00 Andere Bauten tung 00 Geschäfts-, Fabrik- und andere Bauten im Bau auf fremden Grundstücken 00 Anzahlungen auf Geschäfts-, Fabrik- und andere Bauten auf fremden Grundstücken 00 Wohnbauten 00 Garagen 00 Außenanlagen 00 Hof- und Wegebefestigungen 00 Einrichtungen für Wohnbauten 00 Wohnbauten im Bau auf fremden Grundstücken 00 Anzahlungen auf Wohnbauten auf fremden Grundstücken 00 Technische Anlagen und Maschinen 10 Baugeräte und Maschinen 11 Kleingeräte außerhalb der Baugeräteliste (BGL) 12 Zubehör für Geräte und Maschinen 13 Technische Anlagen und stationäre Maschinen (z.B. Mischanlagen) 90 Sonstiges Inventar 00 Technische Anlagen und Maschinen 00 Maschinen 10 Baumaschinen alt 11 Baukräne 12 Mobil- und Kettenbagger 13 Kompressoren 14 Sonstige Verdichtungsgeräte 15 Stromaggregate 00 Maschinen 00 Maschinengebundene Werkzeuge Eigenformular, Nachdruck – auch auszugsw 0 Bila age- und Kapitalkonten Post 11 Ungenormte Rüstung Ausleih und Schalung Unterne 12 Leiter-/ denen e Stahlrohrgerüste gungsve 00 Gerüst- und besteht Schalungsmaterial 00 Geringwertige Wirtschaftsgüter 00 Wirtschaftsgüter (Sammelposten) 00 Sonstige Betriebs- und Geschäftsausstattung 10 Bauhof- und Geschäftsausstattung 11 Bauzäune, Absperrungen Wertpap 00 Sonstige Betriebs- und Anlagev Geschäftsausstattung 00 Andere Anlagen, Betriebs- und Geschäftsausstattung im Bau 00 Anzahlungen auf andere Anlagen, Betriebs- und Anteile Geschäftsausstattung bundene 00 Anteile an verbundenen nehmen Unternehmen (Anlagevermögen) sonstig 00 Anteile an verbundenen hungen Unternehmen, Personengesellschaften Genosse 00 Anteile an verbundenen anteile Unternehmen, Kapitalgesellschaften Ausleih 00 Anteile an herrschender Gesells oder mehrheitlich beteiligter Gesellschaft, Kapitalgesellschaften 00 Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft 00 Ausleihungen an ver- bundene Unternehmen 00 Ausleihungen an ver- sonstig bundene Unternehmen, hungen Personengesellschaften Rückdec 00 Ausleihungen an ver- sprüche bundene Unternehmen, bensver Kapitalgesellschaften gen 00 Ausleihungen an ver- Anleihe bundene Unternehmen, Einzelunternehmen 00 Anteile an herrschender oder mehrheitlich beteiligter Gesellschaft, Personengesellschaften 00 Beteiligungen 00 Typisch stille Beteiligungen 00 Atypisch stille Beteiligungen 00 Beteiligungen an Kapitalgesellschaften 00 Beteiligungen an Personengesellschaften 00 Beteiligung einer GmbH & Co. KG an einer Komplementär-GmbH Eigenformular, Nachdruck – auch auszugsw 0 Bila ge- und Kapitalkonten Post 00 Verbindlichkeiten Verbind gegenüber gegenüb Kreditinstituten nehmen, nen ein gungsve besteht derunge Unterne 00 Verbindlichkeiten denen e gegenüber gungsve Kreditinstituten besteht - Restlaufzeit bis 1 Jahr 00 Verbindlichkeiten gegenüber Kreditinstituten - Restlaufzeit 1 bis 5 Jahre 00 Verbindlichkeiten gegenüber Kreditinstituten - Restlaufzeit größer 5 Jahre 00 Verbindlichkeiten gegenüber Kreditinstituten aus Teilzahlungsverträgen 00 Verbindlichkeiten gegenüber Kreditinstituten aus Verbind Teilzahlungsverträgen gegenüb - Restlaufzeit bis 1 Jahr schafte 00 Verbindlichkeiten Forderu gegenüber gen Ges Kreditinstituten aus oder So Teilzahlungsverträgen Vermöge - Restlaufzeit genstän 1 bis 5 Jahre 00 Verbindlichkeiten gegenüber Kreditinstituten aus Verbind Teilzahlungsverträgen gegenüb - Restlaufzeit größer schafte 5 Jahre 00 Verbindlichkeiten gegenüber Kreditinstituten, vor Restlaufzeitdifferenzierung 00 Gegenkonto 0630-0689 bei Aufteilung der Konten 0690-0698 00 Verbindlichkeiten ge- sonstig genüber verbundenen lichkei Unternehmen 00 Verbindlichkeiten ge- genüber verbundenen Unternehmen - Restlaufzeit bis 1 Jahr 00 Verbindlichkeiten ge- genüber verbundenen Unternehmen - Restlaufzeit 1 bis 5 Jahre 00 Verbindlichkeiten ge- genüber verbundenen Unternehmen - Restlaufzeit größer 5 Jahre Eigenformular, Nachdruck – auch auszugsw 0 Anlage- und Kapitalkonten",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0075,Grundstücke mit Substanzverzehr,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0079,Anzahlungen auf Grund und Boden,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0080,Bauten auf eigenen Grundstücken und grundstücksgleichen Rechten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0085,Grundstückswerte eigener bebauter Grundstücke,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0090,Geschäftsbauten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0100,Fabrikbauten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0110,Garagen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0111,"Außenanlagen für Geschäfts-, Fabrik- und andere Bauten",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0112,Hof- und Wegebefestigungen,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0113,"Einrichtungen für Geschäfts-, Fabrik- und andere Bauten",Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0115,Andere Bauten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
0116,Andere Bauten,Anlage- und Kapitalkonten,Canonical DATEV SKR 03 (NN=00 subset of Bau variant)
