style_idx,style,cluster,rung,k,channel,n_off,n_on,count_delta,intersection,sym_diff,added,removed,jaccard,jaccard_distance,retention,ids_off,ids_on
0,Logical,Analytical,Surface,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
0,Logical,Analytical,Surface,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
0,Logical,Analytical,Surface,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
0,Logical,Analytical,Surface,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 22,1 30
0,Logical,Analytical,Surface,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
0,Logical,Analytical,Surface,3,cross,3,3,0,1,4,2,2,0.200000,0.800000,0.333333,1 15 27,1 28 31
0,Logical,Analytical,Surface,4,same,4,4,0,4,0,0,0,1.000000,0.000000,1.000000,3 7 10 11,3 7 10 11
0,Logical,Analytical,Surface,4,cross,4,4,0,2,4,2,2,0.333333,0.666667,0.500000,1 13 22 29,1 13 28 30
0,Logical,Analytical,Surface,8,same,6,5,-1,5,1,0,1,0.833333,0.166667,0.833333,3 7 10 11 17 21,3 7 10 11 21
0,Logical,Analytical,Surface,8,cross,8,6,-2,3,8,3,5,0.272727,0.727273,0.375000,1 6 13 16 22 25 29 32,1 13 28 30 31 32
0,Logical,Analytical,Shallow,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
0,Logical,Analytical,Shallow,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
0,Logical,Analytical,Shallow,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
0,Logical,Analytical,Shallow,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 22,1 30
0,Logical,Analytical,Shallow,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
0,Logical,Analytical,Shallow,3,cross,3,3,0,1,4,2,2,0.200000,0.800000,0.333333,1 15 27,1 28 31
0,Logical,Analytical,Shallow,4,same,4,4,0,4,0,0,0,1.000000,0.000000,1.000000,3 7 10 11,3 7 10 11
0,Logical,Analytical,Shallow,4,cross,4,4,0,2,4,2,2,0.333333,0.666667,0.500000,1 13 22 29,1 13 28 30
0,Logical,Analytical,Shallow,8,same,6,5,-1,5,1,0,1,0.833333,0.166667,0.833333,3 7 10 11 17 21,3 7 10 11 21
0,Logical,Analytical,Shallow,8,cross,8,6,-2,3,8,3,5,0.272727,0.727273,0.375000,1 6 13 16 22 25 29 32,1 13 28 30 31 32
0,Logical,Analytical,Contextual,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
0,Logical,Analytical,Contextual,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
0,Logical,Analytical,Contextual,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
0,Logical,Analytical,Contextual,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 18,1 28
0,Logical,Analytical,Contextual,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
0,Logical,Analytical,Contextual,3,cross,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,1 13 23,1 13 28
0,Logical,Analytical,Contextual,4,same,4,4,0,4,0,0,0,1.000000,0.000000,1.000000,3 7 10 11,3 7 10 11
0,Logical,Analytical,Contextual,4,cross,4,4,0,1,6,3,3,0.142857,0.857143,0.250000,1 9 18 29,1 13 28 30
0,Logical,Analytical,Contextual,8,same,6,5,-1,5,1,0,1,0.833333,0.166667,0.833333,3 7 10 11 17 21,3 7 10 11 21
0,Logical,Analytical,Contextual,8,cross,8,5,-3,2,9,3,6,0.181818,0.818182,0.250000,1 4 9 15 18 23 29 31,1 13 28 30 31
0,Logical,Analytical,Analogical,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
0,Logical,Analytical,Analogical,1,cross,1,1,0,0,2,1,1,0.000000,1.000000,0.000000,4,13
0,Logical,Analytical,Analogical,2,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
0,Logical,Analytical,Analogical,2,cross,2,2,0,0,4,2,2,0.000000,1.000000,0.000000,4 23,13 28
0,Logical,Analytical,Analogical,3,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
0,Logical,Analytical,Analogical,3,cross,3,3,0,0,6,3,3,0.000000,1.000000,0.000000,4 9 23,13 28 31
0,Logical,Analytical,Analogical,4,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
0,Logical,Analytical,Analogical,4,cross,4,3,-1,1,5,2,3,0.166667,0.833333,0.250000,4 9 23 31,13 28 31
0,Logical,Analytical,Analogical,8,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
0,Logical,Analytical,Analogical,8,cross,8,3,-5,3,5,0,5,0.375000,0.625000,0.375000,4 6 9 13 23 28 31 34,13 28 31
1,Analytical,Analytical,Surface,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
1,Analytical,Analytical,Surface,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
1,Analytical,Analytical,Surface,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
1,Analytical,Analytical,Surface,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 22,1 30
1,Analytical,Analytical,Surface,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
1,Analytical,Analytical,Surface,3,cross,3,3,0,1,4,2,2,0.200000,0.800000,0.333333,1 15 27,1 28 31
1,Analytical,Analytical,Surface,4,same,4,4,0,4,0,0,0,1.000000,0.000000,1.000000,3 7 10 11,3 7 10 11
1,Analytical,Analytical,Surface,4,cross,4,4,0,2,4,2,2,0.333333,0.666667,0.500000,1 13 22 29,1 13 28 30
1,Analytical,Analytical,Surface,8,same,6,5,-1,5,1,0,1,0.833333,0.166667,0.833333,3 7 10 11 17 21,3 7 10 11 21
1,Analytical,Analytical,Surface,8,cross,8,6,-2,3,8,3,5,0.272727,0.727273,0.375000,1 6 13 16 22 25 29 32,1 13 28 30 31 32
1,Analytical,Analytical,Shallow,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
1,Analytical,Analytical,Shallow,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
1,Analytical,Analytical,Shallow,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
1,Analytical,Analytical,Shallow,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 22,1 30
1,Analytical,Analytical,Shallow,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
1,Analytical,Analytical,Shallow,3,cross,3,3,0,1,4,2,2,0.200000,0.800000,0.333333,1 15 27,1 28 31
1,Analytical,Analytical,Shallow,4,same,4,4,0,4,0,0,0,1.000000,0.000000,1.000000,3 7 10 11,3 7 10 11
1,Analytical,Analytical,Shallow,4,cross,4,4,0,2,4,2,2,0.333333,0.666667,0.500000,1 13 22 29,1 13 28 30
1,Analytical,Analytical,Shallow,8,same,6,5,-1,5,1,0,1,0.833333,0.166667,0.833333,3 7 10 11 17 21,3 7 10 11 21
1,Analytical,Analytical,Shallow,8,cross,8,6,-2,3,8,3,5,0.272727,0.727273,0.375000,1 6 13 16 22 25 29 32,1 13 28 30 31 32
1,Analytical,Analytical,Contextual,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
1,Analytical,Analytical,Contextual,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
1,Analytical,Analytical,Contextual,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
1,Analytical,Analytical,Contextual,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 18,1 28
1,Analytical,Analytical,Contextual,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
1,Analytical,Analytical,Contextual,3,cross,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,1 13 23,1 13 28
1,Analytical,Analytical,Contextual,4,same,4,4,0,4,0,0,0,1.000000,0.000000,1.000000,3 7 10 11,3 7 10 11
1,Analytical,Analytical,Contextual,4,cross,4,4,0,1,6,3,3,0.142857,0.857143,0.250000,1 9 18 29,1 13 28 30
1,Analytical,Analytical,Contextual,8,same,6,5,-1,5,1,0,1,0.833333,0.166667,0.833333,3 7 10 11 17 21,3 7 10 11 21
1,Analytical,Analytical,Contextual,8,cross,8,5,-3,2,9,3,6,0.181818,0.818182,0.250000,1 4 9 15 18 23 29 31,1 13 28 30 31
1,Analytical,Analytical,Analogical,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
1,Analytical,Analytical,Analogical,1,cross,1,1,0,0,2,1,1,0.000000,1.000000,0.000000,4,13
1,Analytical,Analytical,Analogical,2,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
1,Analytical,Analytical,Analogical,2,cross,2,2,0,0,4,2,2,0.000000,1.000000,0.000000,4 23,13 28
1,Analytical,Analytical,Analogical,3,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
1,Analytical,Analytical,Analogical,3,cross,3,3,0,0,6,3,3,0.000000,1.000000,0.000000,4 9 23,13 28 31
1,Analytical,Analytical,Analogical,4,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
1,Analytical,Analytical,Analogical,4,cross,4,3,-1,1,5,2,3,0.166667,0.833333,0.250000,4 9 23 31,13 28 31
1,Analytical,Analytical,Analogical,8,same,2,2,0,2,0,0,0,1.000000,0.000000,1.000000,3 7,3 7
1,Analytical,Analytical,Analogical,8,cross,8,3,-5,3,5,0,5,0.375000,0.625000,0.375000,4 6 9 13 23 28 31 34,13 28 31
2,Critical,Analytical,Surface,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
2,Critical,Analytical,Surface,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
2,Critical,Analytical,Surface,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
2,Critical,Analytical,Surface,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 22,1 30
2,Critical,Analytical,Surface,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
2,Critical,Analytical,Surface,3,cross,3,3,0,1,4,2,2,0.200000,0.800000,0.333333,1 15 27,1 28 31
2,Critical,Analytical,Surface,4,same,4,4,0,4,0,0,0,1.000000,0.000000,1.000000,3 7 10 11,3 7 10 11
2,Critical,Analytical,Surface,4,cross,4,4,0,2,4,2,2,0.333333,0.666667,0.500000,1 13 22 29,1 13 28 30
2,Critical,Analytical,Surface,8,same,6,5,-1,5,1,0,1,0.833333,0.166667,0.833333,3 7 10 11 17 21,3 7 10 11 21
2,Critical,Analytical,Surface,8,cross,8,6,-2,3,8,3,5,0.272727,0.727273,0.375000,1 6 13 16 22 25 29 32,1 13 28 30 31 32
2,Critical,Analytical,Shallow,1,same,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,3,3
2,Critical,Analytical,Shallow,1,cross,1,1,0,1,0,0,0,1.000000,0.000000,1.000000,1,1
2,Critical,Analytical,Shallow,2,same,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,3 11,3 10
2,Critical,Analytical,Shallow,2,cross,2,2,0,1,2,1,1,0.333333,0.666667,0.500000,1 22,1 30
2,Critical,Analytical,Shallow,3,same,3,3,0,2,2,1,1,0.500000,0.500000,0.666667,3 10 17,3 7 10
2,Critical,Analytical,Shallow,3,cross,3,3,0,1,4,2,2,0.200000,0.800000,0.333333,1 15 27,1 28 31
2,Critical,Analytical,Shallow,4,same,4,4,0,4,0,0,0,1.000000,0.000000,1.000000,3 7 10 11,3 7 10 11
