style_idx,style,rung,k,tol,channel,verdict_off,verdict_on
0,Logical,Surface,2,0.1,cross,0,13
0,Logical,Surface,4,0.1,cross,0,13
0,Logical,Surface,8,0.1,cross,0,13
0,Logical,Shallow,2,0.1,cross,0,13
0,Logical,Shallow,4,0.1,cross,0,13
0,Logical,Shallow,8,0.1,cross,0,13
0,Logical,Contextual,4,0.1,cross,0,13
0,Logical,Contextual,8,0.1,cross,0,13
0,Logical,Analogical,2,0,cross,0,27
0,Logical,Analogical,2,0.001,cross,0,27
0,Logical,Analogical,2,0.005,cross,0,27
0,Logical,Analogical,2,0.01,cross,0,27
0,Logical,Analogical,2,0.02,cross,0,27
0,Logical,Analogical,3,0,cross,0,27
0,Logical,Analogical,3,0.001,cross,0,27
0,Logical,Analogical,3,0.005,cross,0,27
0,Logical,Analogical,3,0.01,cross,0,27
0,Logical,Analogical,3,0.02,cross,0,27
0,Logical,Analogical,4,0,cross,0,27
0,Logical,Analogical,4,0.001,cross,0,27
0,Logical,Analogical,4,0.005,cross,0,27
0,Logical,Analogical,4,0.01,cross,0,27
0,Logical,Analogical,4,0.02,cross,0,27
1,Analytical,Surface,2,0.1,cross,0,13
1,Analytical,Surface,4,0.1,cross,0,13
1,Analytical,Surface,8,0.1,cross,0,13
1,Analytical,Shallow,2,0.1,cross,0,13
1,Analytical,Shallow,4,0.1,cross,0,13
1,Analytical,Shallow,8,0.1,cross,0,13
1,Analytical,Contextual,4,0.1,cross,0,13
1,Analytical,Contextual,8,0.1,cross,0,13
1,Analytical,Analogical,2,0,cross,0,27
1,Analytical,Analogical,2,0.001,cross,0,27
1,Analytical,Analogical,2,0.005,cross,0,27
1,Analytical,Analogical,2,0.01,cross,0,27
1,Analytical,Analogical,2,0.02,cross,0,27
1,Analytical,Analogical,3,0,cross,0,27
1,Analytical,Analogical,3,0.001,cross,0,27
1,Analytical,Analogical,3,0.005,cross,0,27
1,Analytical,Analogical,3,0.01,cross,0,27
1,Analytical,Analogical,3,0.02,cross,0,27
1,Analytical,Analogical,4,0,cross,0,27
1,Analytical,Analogical,4,0.001,cross,0,27
1,Analytical,Analogical,4,0.005,cross,0,27
1,Analytical,Analogical,4,0.01,cross,0,27
1,Analytical,Analogical,4,0.02,cross,0,27
2,Critical,Surface,2,0.1,cross,0,13
2,Critical,Surface,4,0.1,cross,0,13
2,Critical,Surface,8,0.1,cross,0,13
2,Critical,Shallow,2,0.1,cross,0,13
2,Critical,Shallow,4,0.1,cross,0,13
2,Critical,Shallow,8,0.1,cross,0,13
2,Critical,Contextual,4,0.1,cross,0,13
2,Critical,Contextual,8,0.1,cross,0,13
2,Critical,Analogical,2,0,cross,0,27
2,Critical,Analogical,2,0.001,cross,0,27
2,Critical,Analogical,2,0.005,cross,0,27
2,Critical,Analogical,2,0.01,cross,0,27
2,Critical,Analogical,2,0.02,cross,0,27
2,Critical,Analogical,3,0,cross,0,27
2,Critical,Analogical,3,0.001,cross,0,27
2,Critical,Analogical,3,0.005,cross,0,27
2,Critical,Analogical,3,0.01,cross,0,27
2,Critical,Analogical,3,0.02,cross,0,27
2,Critical,Analogical,4,0,cross,0,27
2,Critical,Analogical,4,0.001,cross,0,27
2,Critical,Analogical,4,0.005,cross,0,27
2,Critical,Analogical,4,0.01,cross,0,27
2,Critical,Analogical,4,0.02,cross,0,27
3,Systematic,Surface,2,0.1,cross,0,13
3,Systematic,Surface,4,0.1,cross,0,13
3,Systematic,Surface,8,0.1,cross,0,13
3,Systematic,Shallow,2,0.1,cross,0,13
3,Systematic,Shallow,4,0.1,cross,0,13
3,Systematic,Shallow,8,0.1,cross,0,13
3,Systematic,Contextual,4,0.1,cross,0,13
3,Systematic,Contextual,8,0.1,cross,0,13
3,Systematic,Analogical,2,0,cross,0,27
3,Systematic,Analogical,2,0.001,cross,0,27
3,Systematic,Analogical,2,0.005,cross,0,27
3,Systematic,Analogical,2,0.01,cross,0,27
3,Systematic,Analogical,2,0.02,cross,0,27
3,Systematic,Analogical,3,0,cross,0,27
3,Systematic,Analogical,3,0.001,cross,0,27
3,Systematic,Analogical,3,0.005,cross,0,27
3,Systematic,Analogical,3,0.01,cross,0,27
3,Systematic,Analogical,3,0.02,cross,0,27
3,Systematic,Analogical,4,0,cross,0,27
3,Systematic,Analogical,4,0.001,cross,0,27
3,Systematic,Analogical,4,0.005,cross,0,27
3,Systematic,Analogical,4,0.01,cross,0,27
3,Systematic,Analogical,4,0.02,cross,0,27
4,Methodical,Surface,2,0.1,cross,0,13
4,Methodical,Surface,4,0.1,cross,0,13
4,Methodical,Surface,8,0.1,cross,0,13
4,Methodical,Shallow,2,0.1,cross,0,13
4,Methodical,Shallow,4,0.1,cross,0,13
4,Methodical,Shallow,8,0.1,cross,0,13
4,Methodical,Contextual,4,0.1,cross,0,13
4,Methodical,Contextual,8,0.1,cross,0,13
4,Methodical,Analogical,2,0,cross,0,27
4,Methodical,Analogical,2,0.001,cross,0,27
4,Methodical,Analogical,2,0.005,cross,0,27
4,Methodical,Analogical,2,0.01,cross,0,27
4,Methodical,Analogical,2,0.02,cross,0,27
4,Methodical,Analogical,3,0,cross,0,27
4,Methodical,Analogical,3,0.001,cross,0,27
4,Methodical,Analogical,3,0.005,cross,0,27
4,Methodical,Analogical,3,0.01,cross,0,27
4,Methodical,Analogical,3,0.02,cross,0,27
4,Methodical,Analogical,4,0,cross,0,27
4,Methodical,Analogical,4,0.001,cross,0,27
4,Methodical,Analogical,4,0.005,cross,0,27
4,Methodical,Analogical,4,0.01,cross,0,27
4,Methodical,Analogical,4,0.02,cross,0,27
5,Precise,Surface,2,0.1,cross,0,13
5,Precise,Surface,4,0.1,cross,0,13
5,Precise,Surface,8,0.1,cross,0,13
5,Precise,Shallow,2,0.1,cross,0,13
5,Precise,Shallow,4,0.1,cross,0,13
5,Precise,Shallow,8,0.1,cross,0,13
5,Precise,Contextual,4,0.1,cross,0,13
5,Precise,Contextual,8,0.1,cross,0,13
5,Precise,Analogical,2,0,cross,0,27
5,Precise,Analogical,2,0.001,cross,0,27
5,Precise,Analogical,2,0.005,cross,0,27
5,Precise,Analogical,2,0.01,cross,0,27
5,Precise,Analogical,2,0.02,cross,0,27
5,Precise,Analogical,3,0,cross,0,27
5,Precise,Analogical,3,0.001,cross,0,27
5,Precise,Analogical,3,0.005,cross,0,27
5,Precise,Analogical,3,0.01,cross,0,27
5,Precise,Analogical,3,0.02,cross,0,27
5,Precise,Analogical,4,0,cross,0,27
5,Precise,Analogical,4,0.001,cross,0,27
5,Precise,Analogical,4,0.005,cross,0,27
5,Precise,Analogical,4,0.01,cross,0,27
5,Precise,Analogical,4,0.02,cross,0,27
6,Creative,Surface,2,0,same,0,7
6,Creative,Surface,2,0.001,same,0,7
6,Creative,Surface,2,0.005,same,0,7
6,Creative,Surface,2,0.01,same,0,7
6,Creative,Surface,2,0.02,same,0,7
